date,stocks
20160414,1300000
20160412,1275000
20160411,1266000
20160408,1246000
20160407,1269000
20160406,1285000
20160405,1260000
20160404,1305000
20160401,1279000
20160331,1312000
20160330,1308000
20160329,1290000
20160328,1294000
20160325,1288000
20160324,1282000
20160323,1279000
20160322,1269000
20160321,1267000
20160318,1273000
20160317,1263000
20160316,1256000
20160315,1253000
20160314,1255000
20160311,1249000
20160310,1225000
20160309,1194000
20160308,1192000
20160307,1223000
20160304,1215000
20160303,1220000
20160302,1197000
20160229,1178000
20160226,1172000
20160225,1179000
20160224,1172000
20160223,1181000
20160222,1175000
20160219,1190000
20160218,1187000
20160217,1185000
20160216,1168000
20160215,1154000
20160212,1130000
20160211,1130000
20160205,1164000
20160204,1156000
20160203,1146000
20160202,1156000
20160201,1163000
20160129,1150000
20160128,1145000
20160127,1175000
20160126,1137000
20160125,1162000
20160122,1168000
20160121,1131000
20160120,1138000
20160119,1171000
20160118,1126000
20160115,1132000
20160114,1138000
20160113,1148000
20160112,1146000
20160111,1152000
20160108,1171000
20160107,1163000
20160106,1175000
20160105,1208000
20160104,1205000
20151230,1260000
20151229,1254000
20151228,1266000
20151224,1285000
20151223,1295000
20151222,1292000
20151221,1280000
20151218,1278000
20151217,1290000
20151216,1299000
20151215,1277000
20151214,1261000
20151211,1284000
20151210,1283000
20151209,1263000
20151208,1262000
20151207,1262000
20151204,1269000
20151203,1290000
20151202,1300000
20151201,1321000
20151130,1284000
20151127,1327000
20151126,1335000
20151125,1299000
20151124,1299000
20151123,1282000
20151120,1285000
20151119,1289000
20151118,1281000
20151117,1270000
20151116,1263000
20151113,1300000
20151112,1317000
20151111,1333000
20151110,1321000
20151109,1344000
20151106,1338000
20151105,1342000
20151104,1330000
20151103,1352000
20151102,1383000
20151030,1372000
20151029,1325000
20151028,1308000
20151027,1298000
20151026,1292000
20151023,1289000
20151022,1280000
20151021,1270000
20151020,1266000
20151019,1256000
20151016,1265000
20151015,1269000
20151014,1254000
20151013,1252000
20151012,1260000
20151008,1270000
20151007,1251000
20151006,1151000
20151005,1115000
20151002,1119000
20151001,1134000
20150930,1134000
20150925,1112000
20150924,1126000
20150923,1131000
20150922,1145000
20150921,1150000
20150918,1190000
20150917,1157000
20150916,1152000
20150915,1123000
20150914,1124000
20150911,1115000
20150910,1134000
20150909,1147000
20150908,1131000
20150907,1112000
20150904,1129000
20150903,1122000
20150902,1090000
20150901,1085000
20150831,1089000
20150828,1081000
20150827,1067000
20150826,1067000
20150825,1079000
20150824,1079000
20150821,1101000
20150820,1139000
20150819,1154000
20150818,1131000
20150817,1104000
20150813,1140000
20150812,1154000
20150811,1157000
20150810,1141000
20150807,1136000
20150806,1115000
20150805,1159000
20150804,1182000
20150803,1175000
20150731,1185000
20150730,1215000
20150729,1263000
20150728,1230000
20150727,1230000
20150724,1229000
20150723,1234000
20150722,1253000
20150721,1263000
20150720,1275000
20150717,1305000
20150716,1282000
20150715,1235000
20150714,1225000
20150713,1266000
20150710,1259000
20150709,1265000
20150708,1239000
20150707,1240000
20150706,1230000
20150703,1268000
20150702,1299000
